1985,,,,,
,,,,"initial_probs",
"var name in the file","Var description","CODES GoM","CATEGORIES","high","low"
,,,,,
"id","Plot ID",,,,
,,,,,
"gleba","Gleba",0,1,0.70,0.30
,,1,2,0.30,0.70
,,,,,
"occup","Occupation of HH 12 months before Machadinho (V354) ",0,"Rural",0.44,0.10
,,1,"Urban",0.00,0.55
,,2,"Not active",0.11,0.24
,,3,"extractive",0.44,0.10
,,4,"NI",0.01,0.01
,,,,,
"people","Number of people in the household (V100)",0,"1a4",0.20,0.50
,,1,"5a9",0.30,0.30
,,2,"10+",0.50,0.20
,,,,,
"Hhedu","HH education (V121)",0,"0-1",0.70,0.20
,,1,"2a4",0.29,0.40
,,2,"5 +",0.00,0.39
,,3,"NI",0.01,0.01
,,,,,
"Hhwedu","HH's wife education (V122)",0,"0-1",0.70,0.20
,,1,"2a4",0.29,0.40
,,2,"5 +",0.00,0.39
,,3,"No wife",0.00,0.00
,,4,"NI",0.01,0.01
,,,,,
"shouldDDT","Sucam should spray DDT (V210)",0,"No",0.85,0.04
,,1,"Yes",0.14,0.95
,,2,"NI",0.01,0.01
,,,,,
"knowledge","Knowledge of vector (V220)",0,"No",0.70,0.29
,,1,"Yes",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
"dirtwater","Get malaria drinking dirty water (V240)",0,"No",0.70,0.29
,,1,"Yes",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
"bednet","Use bednet (V251)",0,"No",0.70,0.29
,,1,"Yes",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
"repellent","Use repellent (V252)",0,"No",0.70,0.29
,,1,"Yes",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
"insecticide","Spray insecticide (V253)",0,"No",0.70,0.29
,,1,"Yes",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
"arrivRO","Year of arrival in RO (V332A)",0,"Before 85",0.70,0.29
,,1,"After 85",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
"region","Region of residence in the 12 months before Machadinho (V341)",0,"North",0.15,0.20
,,1,"South",0.25,0.19
,,2,"Southeast",0.25,0.20
,,3,"Northeast",0.19,0.20
,,4,"Center-West",0.15,0.20
,,5,"NI",0.01,0.01
,,,,,
"goods","Number of goods (V441-455)",0,"1a4",0.70,0.30
,,1,"5+",0.30,0.70
,,,,,
"chainsaw","Has a chainsaw (V451)",0,"No",0.70,0.29
,,1,"Yes",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
"planter","Has a planter (V452) ",0,"No",0.70,0.29
,,1,"Yes",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
"chickenpork","Has chicken/pork (V461 and V462)",0,"No",0.70,0.29
,,1,"Yes",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
"build","Plan to build another house this year (V622)",0,"No",0.70,0.29
,,1,"Yes",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
"rooms","Number of rooms in the house (V630)",0,"1a4",0.70,0.29
,,1,"3+",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
"wall","Quality of walls (V631)",0,"Poor",0.70,0.29
,,1,"Good",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
"roof","Quality of roof (V632)",0,"Poor",0.70,0.29
,,1,"Good",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
"sealing","Quality of sealing (V633)",0,"Poor",0.70,0.29
,,1,"Good",0.29,0.70
,,2,"NI",0.01,0.01
,,,,,
